ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
923,或恪知行8号,或恪投资,股票策略,"1.1191
2017-10-20",12.88%,4.76%,--,--,3out of 5
924,诚汇3号,诚汇投资,股票策略,"1.1140
2017-10-20",7.90%,4.76%,--,--,Not provided
925,卓盈进取三号,卓盈创新投资,股票策略,"1.0723
2017-10-18",2.44%,4.76%,--,--,Not provided
926,华润信托-长江稳健,天井投资,股票策略,"7.7994
2017-09-29",679.94%,4.75%,--,--,5out of 5
927,淳麟2号,淳麟资产,股票策略,"1.0510
2017-10-13",3.60%,4.75%,--,--,Not provided
928,温瑞福5号,瑞福资产,股票策略,"1.0090
2017-10-20",-5.10%,4.75%,--,--,2out of 5
929,外贸信托-富锦7号(汇利),汇利资产,股票策略,"1.7224
2017-10-20",69.12%,4.74%,--,--,3out of 5
930,兆天金牛精选2号,兆天投资,股票策略,"1.0830
2017-09-29",25.01%,4.74%,--,--,3out of 5
931,华润信托-星石5期,星石投资,股票策略,"3.2714
2017-10-20",217.64%,4.73%,--,--,3out of 5
932,银河征金量化,征金资本,股票策略,"1.0740
2017-10-13",1.80%,4.73%,--,--,Not provided
933,华润信托-明达3期,明达资产,股票策略,"2.3651
2017-10-20",178.18%,4.73%,--,--,5out of 5
934,朱雀东海大集合飞龙2号,朱雀投资,股票策略,"1.2158
2017-09-29",21.58%,4.73%,--,--,4out of 5
935,金广鑫1号,金广资产,股票策略,"1.5870
2017-10-20",50.60%,4.73%,--,--,4out of 5
936,滚雪球西湖2号,滚雪球投资,股票策略,"1.3300
2017-09-25",33.00%,4.72%,--,--,5out of 5
937,康曼德-甘主动管理型,康曼德资本,股票策略,"1.5740
2017-09-29",70.97%,4.72%,--,--,4out of 5
938,华润信托-相聚芒格2期2号,相聚资本,股票策略,"1.0747
2017-10-20",6.51%,4.72%,--,--,Not provided
939,禅龙金虎,禅龙资产,股票策略,"1.1070
2017-10-20",4.30%,4.72%,--,--,2out of 5
940,天星2号,天星阳光,股票策略,"1.0193
2017-09-11",8.69%,4.69%,--,--,2out of 5
941,华润信托-星石6期,星石投资,股票策略,"3.2083
2017-10-20",211.48%,4.69%,--,--,3out of 5
942,翼虎成长七期,翼虎投资,股票策略,"1.0765
2017-10-20",4.10%,4.69%,--,--,2out of 5
943,普尔毕昇,普尔投资,股票策略,"1.0500
2017-09-29",5.00%,4.69%,--,--,Not provided
944,华润信托-龙腾1期,龙腾资产,股票策略,"2.4901
2017-09-29",149.01%,4.68%,--,--,Not provided
945,开思港股通优选,开思基金,股票策略,"1.2300
2017-09-29",23.00%,4.68%,--,--,4out of 5
946,未来舱1号,未来舱投资,股票策略,"1.1760
2017-10-23",21.02%,4.68%,--,--,3out of 5
947,石锋资产厚积一号,石锋资产,股票策略,"1.6650
2017-10-20",54.50%,4.67%,--,--,5out of 5
948,同犇6期,同犇投资,股票策略,"1.5324
2017-10-20",44.45%,4.67%,--,--,5out of 5
949,中信信托-行知转折1期,行知创业,股票策略,"1.1659
2017-10-20",11.57%,4.67%,--,--,2out of 5
950,北京信托-星石20期,星石投资,股票策略,"2.4140
2017-10-20",136.74%,4.66%,--,--,4out of 5
951,华润信托-星石13期,星石投资,股票策略,"2.7729
2017-10-20",169.17%,4.65%,--,--,3out of 5
952,华润信托-和聚建享,和聚投资,股票策略,"1.1070
2017-10-13",9.25%,4.65%,--,--,Not provided
953,景泰复利回报第八期,景泰利丰,股票策略,"1.5560
2017-09-29",55.60%,4.64%,--,--,5out of 5
954,康曼德106号,康曼德资本,股票策略,"1.3790
2017-09-29",37.90%,4.63%,--,--,5out of 5
955,博鸿元勇,上海博鸿投资,股票策略,"0.9970
2017-09-29",-0.30%,4.63%,--,--,3out of 5
956,云南信托-聚鑫16号,台州思考投资,股票策略,"0.9381
2017-10-20",-1.24%,4.62%,--,--,Not provided
957,中信信托-尚雅9期,尚雅投资,股票策略,"1.1071
2017-10-20",3.24%,4.62%,--,--,4out of 5
958,玮达绝对回报一号,玮越达投资,股票策略,"1.1230
2017-10-23",21.85%,4.62%,--,--,3out of 5
959,工场漮泰精选,漮泰投资,股票策略,"1.2123
2017-10-10",19.24%,4.61%,--,--,Not provided
960,博鸿元亮,上海博鸿投资,股票策略,"0.9567
2017-09-29",-4.33%,4.61%,--,--,3out of 5
961,山东信托-鸿道精英1号,鸿道投资,股票策略,"1.7703
2017-10-20",74.38%,4.61%,--,--,3out of 5
962,西部信托-尚雅12期,尚雅投资,股票策略,"1.4041
2017-10-20",31.89%,4.61%,--,--,3out of 5
963,德昇金融,德昇投资,股票策略,"1.9210
2017-10-20",79.30%,4.61%,--,--,5out of 5
964,富果同享2号,富果投资,股票策略,"1.1840
2017-10-25",26.78%,4.60%,--,--,4out of 5
965,神农初阳,神农投资,股票策略,"1.0730
2017-10-20",6.90%,4.60%,--,--,3out of 5
966,山东信托-世域1期,世域投资,股票策略,"1.9380
2017-10-20",83.78%,4.59%,--,--,2out of 5
967,向红一号,广西金贝壳,股票策略,"0.9884
2017-10-27",0.41%,4.58%,--,--,Not provided
968,大明投资2号,大明投资,股票策略,"0.9550
2017-10-20",-4.00%,4.58%,--,--,4out of 5
969,易同成长,深圳易同投资,股票策略,"1.3390
2017-10-20",29.00%,4.57%,--,--,4out of 5
970,外贸信托-长金银信宝6期,长金投资,股票策略,"1.6505
2017-10-20",49.91%,4.57%,--,--,5out of 5
971,财掌柜种子基金一号,同亨投资,股票策略,"2.2004
2017-10-20",118.00%,4.57%,--,--,4out of 5
972,博鸿成长1号,上海博鸿投资,股票策略,"1.3265
2017-10-20",28.00%,4.56%,--,--,3out of 5
973,天和8号基金,天和投资,股票策略,"1.0793
2017-10-20",-0.20%,4.56%,--,--,Not provided
974,天和六号,天和投资,股票策略,"1.0730
2017-10-20",1.00%,4.55%,--,--,Not provided
975,瑞盈财富1号,前海瑞盈财富,股票策略,"1.2860
2017-09-08",28.60%,4.55%,--,--,3out of 5
976,华润信托-太和先机策略精选3期,太和先机,股票策略,"1.5771
2017-10-23",56.01%,4.55%,--,--,2out of 5
977,天和7号基金,天和投资,股票策略,"1.0840
2017-10-20",1.10%,4.55%,--,--,Not provided
978,知本合丰9号,知本金融,股票策略,"1.0915
2017-09-22",9.15%,4.55%,--,--,3out of 5
979,陕国投-新思哲1期,新思哲投资,股票策略,"4.0028
2017-10-13",289.91%,4.55%,--,--,5out of 5
980,圣盾成长1号,圣盾投资,股票策略,"1.3828
2017-10-20",36.59%,4.55%,--,--,3out of 5
981,外贸信托-锐进12期鼎萨,鼎萨投资,股票策略,"1.2472
2017-10-20",28.80%,4.55%,--,--,2out of 5
982,志开信享1期,志开投资,股票策略,"1.2980
2017-10-16",26.50%,4.55%,--,--,4out of 5
983,久铭稳利2号,久铭投资,股票策略,"1.5998
2017-10-20",55.49%,4.55%,--,--,4out of 5
984,证研六期,证研投资,股票策略,"0.9870
2017-10-13",45.45%,4.54%,--,--,4out of 5
985,中联投资明星1期,中联投资,股票策略,"1.1971
2017-10-20",18.09%,4.54%,--,--,4out of 5
986,成也基业长青量化1号,成也基金,股票策略,"1.0756
2017-10-20",14.22%,4.54%,--,--,Not provided
987,金富汇启程1号,金富汇资产,股票策略,"1.1066
2017-10-25",8.95%,4.54%,--,--,Not provided
988,外贸信托-鸿道3期,鸿道投资,股票策略,"1.3181
2017-10-20",31.60%,4.54%,--,--,3out of 5
989,华润信托-星石16期,星石投资,股票策略,"2.6270
2017-10-20",155.03%,4.53%,--,--,3out of 5
990,华润信托-星石7期,星石投资,股票策略,"3.2520
2017-10-20",215.72%,4.52%,--,--,3out of 5
991,中信信托-景泰富尊一期,景泰利丰,股票策略,"1.2009
2017-10-20",14.88%,4.52%,--,--,4out of 5
992,贤华一期,晋蓉投资,股票策略,"1.1560
2017-09-22",15.60%,4.52%,--,--,1out of 5
993,华润信托-相聚芒格2期1号,相聚资本,股票策略,"1.0779
2017-10-20",6.71%,4.52%,--,--,Not provided
994,民生财富成长1期,大明投资,股票策略,"1.0160
2017-10-20",1.90%,4.51%,--,--,3out of 5
995,长安信托-中信银行1期1号,富恩德资产,股票策略,"1.0674
2017-10-20",4.69%,4.51%,--,--,3out of 5
996,华润信托-星石4期,星石投资,股票策略,"3.3647
2017-10-20",226.65%,4.51%,--,--,3out of 5
997,一融二号,宏亮投资,股票策略,"1.6600
2017-10-27",62.20%,4.51%,--,--,Not provided
998,新富灵动1号,前海新富资本,股票策略,"1.1200
2017-10-20",11.30%,4.51%,--,--,Not provided
999,巨杉净值线5G号,巨杉资产,股票策略,"1.1520
2017-10-25",11.30%,4.51%,--,--,Not provided
1000,鼎元成也量化二期,成也基金,股票策略,"1.1028
2017-10-13",11.54%,4.51%,--,--,Not provided
