ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
1090,中融信托-同威增值3期,同威投资,股票策略,"1.1915
2017-10-17",10.25%,4.19%,--,--,3out of 5
1091,北京信托-尚雅13期,尚雅投资,股票策略,"1.3938
2017-10-20",30.42%,4.19%,--,--,4out of 5
1092,源实-瑞鑫1号,源实资产,股票策略,"1.0604
2017-10-20",5.30%,4.19%,--,--,4out of 5
1093,永翌0号,永翌投资,股票策略,"1.0720
2017-10-10",7.10%,4.18%,--,--,3out of 5
1094,万霁六号,万霁资产,股票策略,"1.2406
2017-10-20",17.10%,4.18%,--,--,5out of 5
1095,中兴汇金2期,中兴汇金,股票策略,"0.9270
2017-10-20",-10.30%,4.18%,--,--,3out of 5
1096,外贸信托-尚雅1号,尚雅投资,股票策略,"0.9602
2017-10-20",-9.02%,4.17%,--,--,4out of 5
1097,海鸥稳健1号,老鹰投资,股票策略,"1.0710
2017-10-13",4.50%,4.17%,--,--,Not provided
1098,万得富-软财富时代二号,万得富投资,股票策略,"1.0688
2017-10-20",3.40%,4.16%,--,--,Not provided
1099,中兴汇金4期,中兴汇金,股票策略,"0.8558
2017-10-20",-17.21%,4.15%,--,--,3out of 5
1100,翼虎成长十期,翼虎投资,股票策略,"1.0286
2017-10-20",-1.65%,4.15%,--,--,2out of 5
1101,景泰复利回报第十一期,景泰利丰,股票策略,"1.2498
2017-10-20",15.43%,4.15%,--,--,5out of 5
1102,广发兴富恒升,兴富投资,股票策略,"1.7003
2017-10-13",68.93%,4.15%,--,--,2out of 5
1103,兴业信托-博润价值成长,博润投资,股票策略,"1.5535
2017-10-20",51.89%,4.15%,--,--,4out of 5
1104,久铭稳健1号,久铭投资,股票策略,"1.4970
2017-10-20",45.70%,4.15%,--,--,5out of 5
1105,泰和长兴1期,泰和坤德,股票策略,"1.3408
2017-10-13",29.94%,4.14%,--,--,5out of 5
1106,泽履二期,泽履资产,股票策略,"1.0985
2017-10-20",6.17%,4.14%,--,--,3out of 5
1107,智汇树稳健7号,智汇树,股票策略,"0.7222
2017-10-20",-28.00%,4.14%,--,--,1out of 5
1108,华润信托-得利宝至尊12号,星石投资,股票策略,"2.2634
2017-09-20",126.34%,4.14%,--,--,3out of 5
1109,中兴汇金1期,中兴汇金,股票策略,"0.8637
2017-10-20",-16.40%,4.14%,--,--,3out of 5
1110,中兴汇金3期,中兴汇金,股票策略,"0.8590
2017-10-20",-16.90%,4.14%,--,--,3out of 5
1111,新动力投资基金1号,华夏养老资产,股票策略,"1.2720
2017-10-20",28.39%,4.13%,--,--,5out of 5
1112,仁灏开元,仁灏投资,股票策略,"1.3043
2017-09-29",30.43%,4.12%,--,--,3out of 5
1113,华润信托-理成转子2号,理成资产,股票策略,"3.7340
2017-09-29",273.40%,4.12%,--,--,3out of 5
1114,兴聚财富8号,兴聚投资,股票策略,"1.3640
2017-10-20",32.25%,4.11%,--,--,4out of 5
1115,汇泽至远一期,中科汇泽,股票策略,"1.1584
2017-09-29",15.84%,4.11%,--,--,4out of 5
1116,沣京增强一期,沣京资本,股票策略,"1.2897
2017-10-20",24.74%,4.11%,--,--,Not provided
1117,悟空绿城对冲量化二期,悟空投资,股票策略,"1.2100
2017-10-20",16.80%,4.10%,--,--,4out of 5
1118,紫金树一号,北京橙色印象,股票策略,"1.0220
2017-10-20",1.60%,4.10%,--,--,Not provided
1119,中信信托-锐进57期翼虎,翼虎投资,股票策略,"1.0290
2017-10-20",-0.26%,4.09%,--,--,2out of 5
1120,金蟾蜍五号,金蟾蜍投资,股票策略,"1.0659
2017-10-20",8.69%,4.09%,--,--,Not provided
1121,中信信托-智德精选5期,智德投资,股票策略,"1.8524
2017-10-20",76.87%,4.08%,--,--,5out of 5
1122,翼虎成长九号,翼虎投资,股票策略,"1.0070
2017-10-20",-3.10%,4.08%,--,--,Not provided
1123,万霁三号,万霁资产,股票策略,"1.3840
2017-10-20",30.10%,4.08%,--,--,5out of 5
1124,圣盾成长2号,圣盾投资,股票策略,"0.9363
2017-10-20",-7.26%,4.07%,--,--,Not provided
1125,通泽暖阳1期,通泽投资,股票策略,"0.7861
2017-10-20",-3.34%,4.07%,--,--,1out of 5
1126,华润信托-开宝1期,开宝资产,股票策略,"1.2234
2017-10-13",18.94%,4.07%,--,--,3out of 5
1127,裕晋投资9期,裕晋投资,股票策略,"1.4760
2017-10-20",45.90%,4.07%,--,--,3out of 5
1128,华宝信托-新价值11号,新价值,股票策略,"2.0340
2017-10-20",102.52%,4.06%,--,--,4out of 5
1129,外贸信托-双赢11期(鼎锋),鼎锋资产,股票策略,"1.9012
2017-10-20",86.72%,4.06%,--,--,2out of 5
1130,艾叶瓦洛兰,艾叶投资,股票策略,"1.6360
2017-10-20",61.60%,4.06%,--,--,3out of 5
1131,沪港深优质增长,大钧资产,股票策略,"1.1694
2017-10-20",34.03%,4.06%,--,--,5out of 5
1132,倍享财富稳健增长二期,倍享金融,股票策略,"1.3971
2017-10-20",32.88%,4.06%,--,--,Not provided
1133,杰询丰收一号,杰询投资,股票策略,"0.9290
2017-10-20",-1.98%,4.06%,--,--,2out of 5
1134,领真1期,领真资产,股票策略,"1.1550
2017-09-29",55.80%,4.05%,--,--,1out of 5
1135,翼虎灵活配置3号,翼虎投资,股票策略,"1.0380
2017-10-20",0.13%,4.05%,--,--,2out of 5
1136,观富巴斯威尔,观富资产,股票策略,"1.2450
2017-10-20",34.47%,4.05%,--,--,4out of 5
1137,景泰复利回报四期,景泰利丰,股票策略,"1.2616
2017-10-20",17.69%,4.05%,--,--,4out of 5
1138,贤盛道成2号,贤盛投资,股票策略,"1.0052
2017-10-20",-0.78%,4.05%,--,--,2out of 5
1139,远澜水杉1号,远澜信息,股票策略,"1.0530
2017-10-20",5.50%,4.04%,--,--,Not provided
1140,裕晋8期,裕晋投资,股票策略,"1.7936
2017-10-20",77.42%,4.04%,--,--,3out of 5
1141,景林全球基金,景林资产,股票策略,"1.7564
2017-09-29",75.64%,4.04%,--,--,5out of 5
1142,榕树文明复兴三期,榕树投资,股票策略,"1.4870
2017-10-20",50.47%,4.04%,--,--,4out of 5
1143,道和招盈2号,道和投资,股票策略,"1.2270
2017-10-20",15.72%,4.04%,--,--,Not provided
1144,普尔牛顿,普尔投资,股票策略,"1.0460
2017-10-20",0.60%,4.03%,--,--,3out of 5
1145,云南信托-聚宝43号,深圳标远资产,股票策略,"0.9629
2017-10-20",0.11%,4.03%,--,--,Not provided
1146,兆泽利丰4期,兆泽利丰,股票策略,"1.0240
2017-10-17",0.70%,4.03%,--,--,3out of 5
1147,睿华一号,睿璞投资,股票策略,"1.3900
2017-10-20",34.40%,4.02%,--,--,Not provided
1148,华润信托-明达2期,明达资产,股票策略,"3.0835
2017-10-10",369.06%,4.02%,--,--,4out of 5
1149,东源嘉盈5号,东源嘉盈,股票策略,"1.0784
2017-09-29",7.84%,4.02%,--,--,Not provided
1150,绝影二期,中正资本,股票策略,"1.0160
2017-10-11",0.90%,4.02%,--,--,2out of 5
1151,外贸信托-锐进40期兆天,兆天投资,股票策略,"1.3109
2017-10-20",29.06%,4.01%,--,--,4out of 5
1152,华融信托-盛世景新策略7号,盛世景资产,股票策略,"0.9854
2017-10-20",-0.65%,4.01%,--,--,Not provided
1153,君翼量化2号,君翼投资,股票策略,"1.3460
2017-10-27",38.04%,4.00%,--,--,4out of 5
1154,乐赢2号,永乐杰行资产,股票策略,"0.9900
2017-10-27",4.00%,4.00%,--,--,Not provided
1155,天华1号,天华资产,股票策略,"0.8410
2017-10-25",-3.18%,3.99%,--,--,2out of 5
1156,京石5期,京石投资,股票策略,"0.9130
2017-10-27",-8.80%,3.99%,--,--,Not provided
1157,中兴汇金景地2期,中兴汇金,股票策略,"0.9318
2017-10-20",-9.79%,3.99%,--,--,3out of 5
1158,拾金2号,国源信达,股票策略,"1.2190
2017-10-27",7.00%,3.98%,--,--,Not provided
1159,逸原2号,逸原达投资,股票策略,"1.3990
2017-10-27",22.70%,3.98%,--,--,Not provided
1160,最具巴菲特潜力500倍基金6期,兆赢股权投资,股票策略,"1.1887
2017-09-20",18.87%,3.98%,--,--,2out of 5
1161,唐奇唐乐一号,唐奇资产,股票策略,"1.0203
2017-10-26",1.64%,3.98%,--,--,Not provided
1162,永亨2号,永亨投资,股票策略,"1.1550
2017-10-20",12.40%,3.98%,--,--,Not provided
1163,壹财富量化1号,深圳壹财富,股票策略,"1.1530
2017-10-13",15.10%,3.97%,--,--,4out of 5
1164,华润信托-慧睿2号万吨深海鲸7号,万吨资产,股票策略,"1.1197
2017-09-29",11.97%,3.97%,--,--,Not provided
1165,红枫资产管理2号,新宇资产,股票策略,"1.0914
2017-10-13",8.32%,3.97%,--,--,Not provided
1166,睿洪一号,睿璞投资,股票策略,"1.7823
2017-10-20",71.92%,3.97%,--,--,5out of 5
1167,凡得幸福轮动二期,凡得基金,股票策略,"0.6490
2017-09-29",-35.10%,3.97%,--,--,2out of 5
1168,天和10号,天和投资,股票策略,"1.1610
2017-10-20",10.00%,3.97%,--,--,3out of 5
1169,柔微逐鹿1号,柔微资产,股票策略,"1.0720
2017-10-20",7.50%,3.97%,--,--,Not provided
1170,冠易核心动力一号,冠易资产,股票策略,"0.7300
2017-10-25",-23.90%,3.96%,--,--,1out of 5
1171,幂因1号,幂因资产,股票策略,"1.0330
2017-10-20",7.60%,3.96%,--,--,3out of 5
1172,裕晋19期,裕晋投资,股票策略,"1.0939
2017-10-20",8.93%,3.96%,--,--,Not provided
1173,中信信托-星石14期,星石投资,股票策略,"2.6261
2017-10-20",157.36%,3.96%,--,--,3out of 5
1174,中信信托-朴石1期,朴石投资,股票策略,"2.8110
2017-10-20",168.94%,3.96%,--,--,4out of 5
1175,伊然笙歌1号,伊然股权投资,股票策略,"1.2430
2017-10-26",23.70%,3.95%,--,--,3out of 5
1176,巴加索睿赢1号,巴加索(上海)投资,股票策略,"0.8930
2017-10-20",-7.54%,3.95%,--,--,1out of 5
1177,赋成量化对冲30号证券,赋成资产,股票策略,"1.0100
2017-10-20",2.80%,3.94%,--,--,Not provided
1178,卓泰阳光举牌1号,卓泰投资,股票策略,"3.2800
2017-10-19",243.00%,3.94%,--,--,4out of 5
1179,创亮投资ATM二号,创亮投资,股票策略,"1.1000
2017-10-27",8.20%,3.94%,--,--,Not provided
1180,华润信托-源乐晟12期,西藏源乐晟资产,股票策略,"1.4052
2017-10-16",35.67%,3.94%,--,--,5out of 5
1181,映雪安健1号,映雪资本,股票策略,"1.0182
2017-10-20",-0.19%,3.94%,--,--,Not provided
1182,菁英时代优选5号,菁英时代,股票策略,"1.6671
2017-09-25",66.71%,3.93%,--,--,3out of 5
1183,天和财通创新1号,天和投资,股票策略,"1.1337
2017-10-20",15.84%,3.93%,--,--,Not provided
1184,万霁七号,万霁资产,股票策略,"1.1660
2017-10-20",11.10%,3.93%,--,--,5out of 5
1185,同犇尊享2号,同犇投资,股票策略,"1.6095
2017-10-20",49.99%,3.93%,--,--,Not provided
1186,新智达成长一号,新智达投资,股票策略,"1.7318
2017-09-29",73.18%,3.92%,--,--,5out of 5
1187,景闰启航1号,景闰投资,股票策略,"1.2172
2017-10-27",17.32%,3.92%,--,--,3out of 5
1188,冰岩一号,斯诺波投资,股票策略,"1.2400
2017-10-24",19.47%,3.92%,--,--,3out of 5
1189,晟华奇易1号,晟华创投,股票策略,"1.0677
2017-09-29",6.77%,3.92%,--,--,Not provided
1190,循远五号,循远资产,股票策略,"1.1830
2017-10-20",13.46%,3.92%,--,--,4out of 5
1191,蓝奶酪成长1号,奶酪基金,股票策略,"1.5471
2017-10-20",43.99%,3.92%,--,--,Not provided
1192,实力稳进,实力资产,股票策略,"1.7778
2017-09-29",77.78%,3.92%,--,--,4out of 5
1193,外贸信托-锐进29号景林多元策略,景林资产,股票策略,"1.5013
2017-10-20",38.64%,3.91%,--,--,5out of 5
1194,锐誉进取一号,锐誉进取,股票策略,"1.0830
2017-10-26",8.90%,3.91%,--,--,Not provided
1195,深圳前海百川-前海创赢4号,前海百川基金,股票策略,"1.0850
2017-10-26",9.00%,3.91%,--,--,Not provided
1196,宽桥沪深300指数对冲基金2号,富钜投资,股票策略,"1.2276
2017-10-27",21.67%,3.90%,--,--,3out of 5
1197,外贸信托-景林优选2号,景林资产,股票策略,"1.5076
2017-10-20",39.58%,3.90%,--,--,5out of 5
1198,合美成长私募证券,合美投资,股票策略,"1.4390
2017-09-29",43.90%,3.90%,--,--,4out of 5
1199,仁心回报1号,深圳果实资本,股票策略,"1.1141
2017-09-29",11.41%,3.90%,--,--,3out of 5
1200,景林全球专享子1号,景林资产,股票策略,"1.7812
2017-10-09",71.11%,3.90%,--,--,Not provided
1201,镕畿1号,镕畿投资,股票策略,"1.0860
2017-10-26",9.30%,3.90%,--,--,3out of 5
1202,万吨资产深海鲸旗舰二号,万吨资产,股票策略,"1.1097
2017-10-20",9.12%,3.89%,--,--,2out of 5
1203,紫荆怒放,上海保银投资,股票策略,"1.4554
2017-09-29",45.54%,3.89%,--,--,Not provided
1204,中信信托-星石18期,星石投资,股票策略,"2.5106
2017-10-20",146.00%,3.89%,--,--,3out of 5
1205,中融信托-翼虎成长一期,翼虎投资,股票策略,"2.8998
2017-10-20",179.89%,3.89%,--,--,2out of 5
1206,山东安天诚2号,安天诚投资,股票策略,"0.9379
2017-10-23",-7.78%,3.87%,--,--,Not provided
1207,中信信托-星石15期,星石投资,股票策略,"2.5479
2017-10-20",149.69%,3.87%,--,--,3out of 5
1208,陕国投-鼎锋16期,鼎锋资产,股票策略,"1.4900
2017-10-13",76.96%,3.87%,--,--,3out of 5
1209,中信信托-星石17期,星石投资,股票策略,"2.4212
2017-10-20",137.27%,3.87%,--,--,3out of 5
1210,拾贝投资8号,宁波拾贝投资,股票策略,"1.0787
2017-10-20",3.68%,3.87%,--,--,Not provided
1211,拾贝积极成长,海宁拾贝投资,股票策略,"1.0969
2017-10-20",4.78%,3.87%,--,--,Not provided
1212,禾天下5号,磐厚蔚然,股票策略,"1.2310
2017-10-20",25.54%,3.86%,--,--,Not provided
1213,合象精选六期,合象资产,股票策略,"0.9762
2017-10-25",-1.03%,3.86%,--,--,1out of 5
1214,久铭3号,久铭投资,股票策略,"1.7441
2017-10-20",64.38%,3.85%,--,--,5out of 5
1215,巨牛珠江一号,广东巨牛投资,股票策略,"1.0910
2017-10-20",5.30%,3.85%,--,--,Not provided
1216,华德赢优选价值成长3号,华德赢,股票策略,"0.8732
2017-10-20",-8.90%,3.83%,--,--,Not provided
1217,中欧瑞博诺亚,中欧瑞博,股票策略,"1.3679
2017-10-27",29.61%,3.83%,--,--,5out of 5
1218,和康国藤进取,鑫顺和康投资,股票策略,"1.0300
2017-10-26",13.90%,3.83%,--,--,Not provided
1219,中信信托-翼虎成长二期,翼虎投资,股票策略,"2.0352
2017-10-20",96.37%,3.83%,--,--,2out of 5
1220,领路金稳盈1号,领路资产,股票策略,"1.3340
2017-10-23",27.50%,3.83%,--,--,Not provided
1221,巨杉净值线2号,巨杉资产,股票策略,"2.2830
2017-10-25",120.10%,3.82%,--,--,4out of 5
1222,中信信托-高信百诺1期,高信百诺,股票策略,"2.7732
2017-10-20",160.42%,3.82%,--,--,5out of 5
1223,银禧证券,译信股权投资,股票策略,"1.1280
2017-10-20",14.20%,3.82%,--,--,Not provided
1224,朝阳贤盛1号,向日葵,股票策略,"1.2240
2017-09-29",46.56%,3.82%,--,--,2out of 5
1225,正格尊享1号,正格资本,股票策略,"1.1459
2017-10-27",26.06%,3.82%,--,--,Not provided
1226,华夏金色长城养老,华夏养老资产,股票策略,"1.2970
2017-10-20",46.85%,3.81%,--,--,5out of 5
1227,云南信托-聚利55号,诺鼎资产,股票策略,"0.9014
2017-10-20",-3.76%,3.80%,--,--,Not provided
1228,华润信托-理成风景2号,理成资产,股票策略,"3.4103
2017-09-29",241.03%,3.80%,--,--,3out of 5
1229,兴业信托-鼎润1期,鼎润投资,股票策略,"2.1202
2017-10-20",106.75%,3.80%,--,--,4out of 5
1230,睿亿投资攀山一期,睿亿投资,股票策略,"1.1080
2017-10-20",9.40%,3.80%,--,--,Not provided
1231,云南信托-聚利25号,诺鼎资产,股票策略,"0.9058
2017-10-20",-3.43%,3.79%,--,--,Not provided
1232,中卓大健康5期,中卓投资,股票策略,"1.4320
2017-10-13",39.80%,3.79%,--,--,4out of 5
1233,中信信托-星石19期,星石投资,股票策略,"2.5736
2017-10-20",152.26%,3.79%,--,--,3out of 5
1234,润京凯旋量化对冲6号,润京资产,股票策略,"0.9420
2017-10-20",-4.00%,3.78%,--,--,2out of 5
1235,凯旋量化6号,赋成资产,股票策略,"0.9420
2017-10-20",-4.00%,3.78%,--,--,2out of 5
1236,榕树澄源,榕树投资,股票策略,"1.0520
2017-10-20",7.00%,3.78%,--,--,4out of 5
1237,思诺铂稳健1号,思诺铂投资,股票策略,"1.0764
2017-10-20",7.87%,3.78%,--,--,Not provided
1238,成泉汇涌一期,成泉资本,股票策略,"2.4600
2017-10-20",141.70%,3.78%,--,--,4out of 5
1239,五矿信托-永瑞5号,永瑞财富,股票策略,"0.9520
2017-10-20",-6.25%,3.77%,--,--,3out of 5
1240,厦门信托-普尔麒麟,普尔投资,股票策略,"1.0720
2017-10-20",186.83%,3.77%,--,--,2out of 5
1241,东源嘉盈1号,东源嘉盈,股票策略,"1.1807
2017-09-29",18.07%,3.77%,--,--,3out of 5
